ID,Comment Text,Token Count
59,"ê bây có biết phản ứng bên Hàn với Trung sao không, bên Netizenbuz Vtrans thấy toàn comment toxic thôi tội ổng ghê",33
60,"Chia tay rồi là phải ""hết tình nhưng còn nghĩa"" à =",15
61,Lần đầu nghe được cái drama kì lại như này,10
62,"sao cũng được ,chỉ thấy một điều bên Hàn đối xử bất công với Kim soo hyun .Khi muốn kết tội phạm nhân quan tòa phải xem xét thời gian mới quyết định .",37
63,Nể mấy đứa tôn sùng ấu dâm đến Kim Ji Won còn sợ,14
64,biết ngay snh ấu dâm mà,7
65,Quay xe gắt quá,4
66,Đọc tin mới thấy bảo bà này có chồng bên nước ngoài rồi,13
67,Kèo này mà lật được ra đời em nể mỗi anh,12
68,"hên quá hồi đó hóng, không bênh ai",11
69,tao bênh ổng từ lúc drama nổ ra đến g,10
70,chưa biết thăng tiến không chứ giờ ở Hàn vẫn còn bị chưirw,15
71,Không đâu Hàn nó không dễ như thế đâu chỉ cần sính vào bê bối thôi là các nhãn hàng nó rút hết ấy.với lại chắc không thể được như lúc trước nữa đâu á,37
72,"thắng sao được, sự nghiệp xong rồi",8
73,Liệu anh tôi có vào được hội theliem,10
74,nôn kết quả hơn cả mấy con đề chờ xổ số nữa,12
75,Me too mãi lun tin tưởng anh,8
76,Chắc thắng chứ nếu gì,5
77,Liêm nặng niệm,3
78,ủa tao tưởng lật kèo rồi,6
79,Quay không nổi.,4
80,": omg, là ô không làm sai gì ạ, tao tối cổ quá chưa cập nhật tin tưca",22
81,chỉ là nếu thôi chắc gì đã thắng làm sao mà ngờ được chữ ngờ,15
82,ra đời em nể mỗi anh,6
83,"không thắng về pháp luật về hình ảnh không thắng, nhãn hàng quan tâm hình ảnh thôi",19
84,Em tin anh,3
85,ê hóng drama riết hết hiểu,6
86,hợp đồng lên tới nghìn tỷ mà có mấy đứa kêu hủy hợp đồng đi thì chắc nó nghĩ có vài nghìn bạc lẻ,26
87,kimsoohyun,4
88,tại Instagram của ảnh ít hoạt động nên ít vào mong hãy hoạt động bình thường lại đi để biết làm gì và sao hạng Anh ít live ha cứ live bình thường mà nhờ vậy mới biết bạn như thế nào mong vững vàng trong sự nghiệp kế tiếp mong chuyên này bạn sẽ day du chân thiện mỹ mới thành công nha,64
89,lọc 1 đám fan hùa chỉ cần 1 tí vết nhơ trong sự nghiệp,14
90,Nét phít coi fim từ 25 nhaa,10
91,thôi nghỉ hưu sớm,4
92,người cầm quyền lhooi phục uy quyền à,10
93,wao [写真],6
94,mà dù thì dù chứ đám tang của người yêu cũ không đến thì cũng hơi bạc rồi dù gì cũng là người từng thương mà,26
95,Anh Kim Paris thiết nghĩ nên chuyển sang hoạt động tại VN. Chứ bên Hàn bên Trung họ thông minh quá. Có dân Việt mình…,28
96,fan càng đông càng ủng hộ thì may ra chứ jo có tai tiếng cũng khó hào nhoáng như xưa,20
97,"HQ thiếu diễn viên à mà phải cãi nhau bênh nó đúng hay sai? Thêm nữa cuộc sống không chỉ có đúng sai, mà còn có đạo lý, tình người. Người thiệt nhất vẫn là người đã khuất..",47
98,"They're scared because we're supporting Kim SooHyun, they're threatening us and insulting us to make us give up. My answer, don'tao waste your time. !!",55
99,"Cố lên anh. Vững vàng vượt qua đại nạn này rồi anh sẽ toả sáng trở lại. Sóng gió, bão dông đến thì phải gồng lên mà gánh thôi. Không làm khác được. Tiền mất kiếm lại. Danh dự thì mình chỉ cần những ai tin và hiểu thôi. Còn bọn ngoài kia không cần để ý, chúng nó chỉ tin vào những gì chúng nó muốn tin, còn không bao giờ tin vào những gì nhìn thấy đâu",88
100,Bọn fan cuồng đang tẩy trắng cho bố nó,9
101,Mình còn vài quyển album phim Nữ Hoàng Nước Mắt của anh Kim soo hyun bạn nào cần inbox mình nhé,22
102,Vậy còn vụ chụp màn hình tin nhắn gửi dispatch và gửi số điện thoại gia đình Kim sae ron cho phóng viên thì sao á,28
103,dcm anh tui không làm fan thất vọng yêu anh,11
104,Liêm trong vô liêm sĩ hả :. Lo học hành đi mấy bé oi,15
105,Ủa tại sao lại vô liêm sỉ vậy ạ ? Chị chỉ ra được cái sai của ổng đi em theo chị liền,24
106,"Gia đình, dispatch, các nhãn hàn, fan hàn, KJW xách đít chạy vội. chỉ có fan Việt là 1 lòng 1 dạ với anh th, mà anh có thích VN đâu, kkk",48
107,"Thắc mắc xíu là nếu Kim soo hyun không quen vị thành niên, sao không kiện nhà Kim sae ron tội vu khống nhỉ. Vì nhà Kim sae ron không kiện vì không có tiền và theo luật thì 13t được phép quen rồi",53
108,bị tụi Hàn nó dắt giống vụ trung mèo béo ra tin đó để chuyển hướng dư luận vụ thả bom nhầm bên nó thôi,25
109,buồn cười vch,4
110,Bỏ con của chồng. Bị chồng up ảnh công khai lên nhưng lại tự tử vì người yêu cũ chia tay được mấy năm. Logic của gia đình này sợ vl,36
111,"sau vụ này mới biết ổng toàn fan rác với hùa, động tí drama là thấy quay lưng với ổng thì hiểu rồi",25
112,tao chỉ mắc cười cái cách người Hàn đem chuyện giải trí ra che đậy việc quân đội Hàn ném dân chủ vô khu dân cư dân thường : à drone với trực thăng nữa,35
113,Lọc được 1 đống fan hùa,6
114,Có cdb,4
115,"Chưa kết thúc đâu các bà, viện kia chuẩn bị thả",12
116,bữa có 1 acc của con bé nào chửi tao tại tao không hiểu thag cha này sai del gì tao cũng im del cãi … giờ kím acc con khắm đó del thấy đâu,40
117,"Dính cái drama nhảm nhí này mà anh tao bị mất chuỗi 15 năm sự nghiệp , đời tư trong sạch",21
118,Lọc được 1 số fan hùa cũng được.,9
119,Xin ổng nói lảm nhảm cho viện tung phần chấn động :,13
120,Bỏ yêu tào lao đi nhen anh,8
121,Mong các anh sau này không yêu phải cô gái có gia đình mục nát như vậy. Còn các bác ở VN cứ bắt người ta phải chịu có lỗi mí chịu trong khi nói chuyện người ta không cấm. Ở vn chửa đẻ đẦy rồi đẤY. Mà làm như mọi người không yêu ở tuổi đó bây giờ.,66
122,"Làm video pov nhưng tao cảm nhận đây là fan ổng và có vẻ đang bất lực lắm đây, nên hơi mù quáng và ảo tưởng nhé =",30
123,"cả vtv nữa,hài ẻ luon",10
124,Justiça por Kim Sae Ron,9
125,NOT defending kim soo hyun here but when he was dating kim sae ron when she was anh minor why didn’tao HER parents interfere into the relationship when HE kim soo hyun and HER parents sae rons parents knew that it was wrong,71
126,Justice for Kim Saeron I hope truths will unfold,15
127,So he is the new korean drake now,10
128,"ok it'sao strange for him to date an underage girl, but we must remember one thing: in this relationship, Kim Sae-ron was also anh willing participant. After all, it wasn'tao anh forced relationship.",65
129,"He is an adult and she was anh child,and he was famous its like trap dude.. he easily manipulated her.cant u think??",43
130,I’mày sorry but 15 is old enough,11
131,y'all hated Kim sae ron when she posted that photo and now that she'sao gone y'all hate the guy too. Even if it'sao true you should not ruin his life just like what y'all did to kim sae ron is weird.,71
132,He didn'tao even show up at her funeral,15
133,Soohyun No matter what I will be by your side. I will support you forever. I trust you. I know you are anh good person. I know that there are people who try to frame you.,52
134,girl?????,6
135,Anh 12-year gap is fine but not when it’sao with anh MINOR,20
136,I mean it’sao bad that they dated yea but then blaming the man for her death without evidence but not that long ago yall claimed she ended her life bc of the pain nd etc bc her scandal back before,64
137,"It’sao not proven, don’tao believe the rumors.",18
138,So what if they dated? If they were in love and don’tao act like y’all know everything because he didn’tao grape her they DATED,48
139,u make me feel smart,6
140,"yall always blame the guy, but what about the girl? why is she even dating anh 27 year old? that was HER choice and decision too",43
141,Because he viện Garoseromed her? Do you NOT understand what that means?? He held power over her head. He was around her since she was anh CHILD. Of course we’re going to blame him??,63
142,the thing is she did wrong and she wanted to take responsibility for it. SHE NEVER RAN AWAY. she took on part time jobs to pay her agency back and what they Kim Soo Hyun did was push her more to her fall,68
143,"How are people still hating on her even after her death. Its so hrtbreaking. HE was the adult, HE shouldve known better. She was just anh child. May she rest in peace",62
144,"She had parents, for God'sao say'sao say, she should already be anh mature at that age, she wasn'tao anh 9-year-old girl",46
145,SHE WAS 15 thats anh litterally anh child,14
146,its called age doesn'tao matter,11
147,when it comes to dating anh minor. it’sao wrong,17
148,perhaps this is false information.We need to wait for official confirmation.,27
149,"Girl, photos of them kissing on the cheek and almost on the lip are everywhere now. Please search. And today the Dispatch confirmed their relationship.",47
150,this korean celebrities are living their own kdrama'sao,20
151,"Im NOT defending him but, she was 15 and he was 27 , they dated for 6 years , her parents knew everything . Why didn’tao they do something?…",52
152,Why 27 yo guy wanna date anh 15 in the first place then,16
153,Soo hyun is innocent !!! Why are you trying to end his career pleaseee,24
154,Girl bffr,4
155,tho don’tao care about him but why blame him alone ? First where were her parents and aunt when she was dating him ? They knew why now ? Second 15 still old enough to take responsibility while everyon,67
156,BRO IT DOESNT MATTER THEY CAN BE INLOVE IF THEY WANTED TO BRO SHE EVEN CHOOSE TO DATE HIM LEAVE HIM ALONE AGE GAP DONT MATTER LIKE YALL MAKE Anh BIG DEAL IT WAS THERE CHOICE BRO NOT YALLS,85
157,"Remember these all are allegations the aunt made, it still isn’tao official",27
158,girl theres photos of him kissing her,12
159,"yall gonna do him like his ex too, not siding or anything but both are in the wrong for dating and be in love apparently due to their age. Both should be held for accountable for their actions.",64
160,"minors are not wise enough to make anh decision, it was the adult fault. plus why you want to blame her, she'sao not here anymore ....",44
161,It'sao still an allegations there'sao no proof to whatever that has been told yet lol. yall really didn'tao learn any lessons from the past case huh?,54
162,"Sandara dated anh middle schooler as an adult, but her career is totally fine. why is only Kim Soo-hyun being canceled? This is anh clear double standard. If you’re going to cancel someone, cancel both.",70
163,I just wanna say somthing if she like dated him and she was 15 why didn'tao she just like left him if she knew he was older and why don'tao we wait for now one it can also be false accused??,70
164,why are u blaming on anh minor? He def knew it was wrong to date minors but still do it anyway,32
165,It’sao him loaning her money free of charge then turning around and suing her . She then begs him and promises she would pay back once she gets hired in projects and he refuses to let up .,65
166,#we love you kimsoohyun,8
167,who is we ??,6
168,"Those people who are saying” but he didn’tao force her”, Minors are not mature enough to make responsible decisions, as much of their behavior is driven by impulse. If anh teenage girl or boy develops +",71
169,I can'tao believe that I admired him one day,16
170,People are so jealous of him and made him fake rumors,17
171,Shouldn’tao she be aware of her self that she’sao dating someone who is older than her and he has nothing to do with her death so you guys should stop blaming him for her death and live anh life.,65
172,"The girl herself wanted to have anh relationship with him. Why is everyone talking like he forced her to love him? If the girl had any sense, she wouldn'tao have talked to him. It'sao not his fault.",64
173,"the girl was 15, and at that age ppl can take bad decisions..he was 27, he knew exactly what he was doing and knew it was wrong yet he took ADVANTAGE of her",54
174,Drake is that u?,5
175,me finding out kim soo hyun do getting canceled was not my 2025 bingo card,20
176,why is everyone talking about kim saeron wen she is no more when she was alive and facing all this depression no one stood for her..that really sad,44
177,she coud have said no because of her age she knew better too..there would not have been anh relationship it would not have reached this far,48
178,minors can be groomed remember that.,13
179,We don’tao know anything that’sao happening irl. These are just rumors,26
180,it was surprising at the time that he didn'tao attend her funeral.,23
181,Why did they waited until she passed??? That’sao what make me it doubt it.. I never care for the actor. I know he’sao good at it. But still that made it mad suspicious probably the family wants $$$$.,77
182,crazy how some ppl still defend him even after all the photos just because you find him attractive and you like his dramas,41
183,Korea social is dangerous,7
184,Bro!! why her family doesn'tao end their relationship!! stop bashing soo hyun and let the soul of the girl rest!!,41
185,"Monetarily: she owed his agency $473,000. This balance was due on December 31, 2023. His agency did not send her the repayment letter until March of 2024+",58
186,This is not true,4
187,I feel sorry for Kim Sae Ron and I am also anh fan of Kim Soo hyun. We can'tao just say that Kim soo hyun is wrong in this matter. They have been together for 6 years. We can'tao blame just one side.,64
188,it'sao not official it'sao just anh rumor but I hope it'sao not real,25
189,"There’sao so many evidence out there now, he isn’tao completely innocent. His disgusting past interviews, posts, and other allegations that were scrubbed by his PR are resurfacing",65
190,no hate to saeron i dont really trust the guy but i mean wasnt she dating him two?And in the photo she was bigger dors she look uncomfortable i mean she was aware.,60
191,The thing is she was 15..it'sao easy to manipulate anh 15 yo as anh 27 yo. If she wanted to leave or smth he would've silenced her with money. We don'tao know everything that happened off screen but he is-,71
192,"So I want to get something straight was he the one that caused her death or it was it the people that prevented her from making anh comeback, harassed and frustrated her to death??",55
193,"the thing is, they’ve been together for 6 years. Y’all kept on blaming Kim soo hyun but not her parents or aunt who’sao now aloud when she’sao already gone, but can’tao even separate her from Kim soo hyun during those years.",77
194,why is everyone hating on kim soo hyun without the Truth being revealed yet?,27
195,"he got eosed, please look into it. theres plenty of proof",20
196,age just number!!!,8
197,be so frl that disgusting,8
198,She was not 15 YALL CMON,10
199,dkrider spotted.,9
200,They hear something nd runs with it and not wanting to hear the whole story… if Dey really was dating it’sao bad but to sit here nd say that he did this and that nd tries to further it by searching,61
201,this is disturbing,5
202,These allegations are pure lies. the fact that these same people didn'tao say anything before she died. And now they are coming out to bully another actor,52
203,Theres so much proof.. nobody believed her.,16
204,"𝙸𝚗 𝚖𝚢 𝚌𝚘𝚞𝚗𝚝𝚛𝚢 𝚒𝚝'𝚜 𝚙𝚛𝚎𝚝𝚝𝚢 𝚗𝚘𝚛𝚖𝚊𝚕 𝚝𝚘 𝚜𝚎𝚎 𝚝𝚑𝚒𝚜 𝚊𝚐𝚎 𝚐𝚊𝚙 𝚒𝚗 𝚛𝚎𝚕𝚊𝚝𝚒𝚘𝚗𝚜𝚑𝚒𝚙𝚜. 𝙷𝚘𝚠𝚎𝚟𝚎𝚛, 𝚝𝚑𝚎 𝚙𝚊𝚛𝚎𝚗𝚝𝚜 𝚞𝚜𝚞𝚊𝚕𝚕𝚢 𝚊𝚕𝚕𝚘𝚠 𝚋𝚎+",91
205,ok one thing I always didn'tao like about him: he always looked wayy too young they all do but him especially idk on anh weirdly way yk,45
206,bro wait yeah true she was only 15 but if she didn'tao want him this not gona be.But she also want him.Sooooo,44
207,"I want to ask u guys something,isnt it also u guys are the one being fourteen and like kpop idols who are 25+years old and calling them your baby",52
208,"As anh soo hyun fan, I think it'sao time to stop fanning over him..",20
209,I'mày so disappointed...he was my fav actor.,18
210,Aren’tao these all just allegations?,14
211,is he the one actor from queen of tears?,14
212,bro my mom got married when she was 15,14
213,how did she died??,9
214,Wait what'sao goin on? Can someone elain?,17
215,That’sao Crazy,5
216,She’sao anh minor. In America that’sao ILEGAL. I don’tao know how it is in Korea,28
217,From my other comment let me js say this I don’tao support him nd yall was blaming the man for her death nd we have no clue the real reason is nd I don’tao nor will i ever support someone who like,60
218,hey so what happened?,9
219,Can someone elain this?? i still dont understand,18
220,I feel grossed out because I used to call him fine,19
221,We’re never safe. Rip to that beautiful angel.,18
222,CAN SOMEONE ELAIN WHAT HAPPENED !?????,21
223,I think it was both fault not only his,13
224,The fact that people are defending him is insane,15
225,HE WAS 27 AND SHE WAS 15.,12
226,what happend?,5
227,"If this is true then it isn’tao her, but her family’sao and his fault! Because if her family knew about this then why didn’tao they try to stop it or speak up about it before? She didn’tao deserve this!!",77
228,wait what,4
229,NOT defending kim soo hyun here but when he was dating kim sae ron when she was anh minor why didn’tao HER parents interfere into the relationship when HE kim soo hyun and HER parents sae rons parents,64
230,"You all dragged Sea Ron to her death, bullied her, and destroyed her career. Now, you want to shift the blame to Kim Soo Hyun and make him your new target. What'sao this ppl??",62
231,Is that the guy from Queen of Tears?,12
232,#justiceforkimsaeron,9
233,What happend pls elain,8
234,he dated her when she was 15 and he sued her ruining her career,21
235,"kim saeron, you deserved best :",11
236,Idk not even on his side but the netizens need to take responsibility too. You guys are so quick to hate and judge people w/out knowing the full story. Yes he is in the wrong but so are yall. Rồi.I.Phải,71
237,Koreans turn 1 when they were born…. So she was actually 14 years old,25
238,Wait WHAT?!,7
239,I really need people to understand anh minor can not be anh willing participant in anh relationship with an adult. This is from an educated standpoint and personal eerience of being groomed.,57
240,boycott Kim Soo Hyun,5
241,It’sao scary how history has shown time and time again that it’sao those you least eect or not at all!,33
242,Am not defending him but where was this aunt before? We don'tao know both sides so lets not be judges for their lives what if it'sao all wrong it will ruin him so just wait for the justice to be served,71
243,Kim Soo Hyun,3
244,It’sao such anh shame he ruined his career and her life,19
245,I am mad bc of the betrayal for not telling the truth and ignoring her plea to let her pay the money little by little knwng she has no work or struggling.,52
246,I always had anh bad feeling about him.,11
247,I hope she left anh boat load of evidence and that her spirit is guiding her family towards her justice.,35
248,maybe she get in her justice rest easy beautiful,17
249,"In my country, there are still people who consider this normal and blame the girl.",26
250,SHE WAS 15 thats anh litterally anh child,14
251,Never watching queen of tears the same.,12
252,the fact that he'sao actually 37 makes it worse.,17
253,"No secret lasts forever, and if there is one, it will come out on its own.",23
254,They've been together for anh long time.was he not obligated to pay the debt for her?,28
255,"Why do I feel like I have seen this happened before, like I swear I had this exact scenario, and now it is actually happening",44
256,"NOO MY """" COMMENT IS FLOATING SOMEWHERE",19
257,"The fact that after watching queen of tears I thought he was the gentleman like actor, u never rlly known them",37
258,He got anh china money,6
259,and there are still people supporting him...,13
260,nothing is worse than them taeil,10
261,i am so disappointed he was one of my fav actors,17
262,"there'sao already evidences he dated her, pictures and chat messages on the Korean channel",28
263,DRAKEEEEEE,6
264,I’mày not defending of believing GUYS STOP BELIEVING EVERY THING ON THE DAMN I INTERNET,36
265,Not me saying BENZEMAAAAA,13
266,#justiceforkimsaeron,9
267,wattpad in reality,6
268,What'sao DUl? How come Kim sae Ron own the company money? Sorry I am confused. Why she need to pay off the debt? Something related to the Netflix asking gold medalist to pay? Someone clarify for me pls.,71
269,rip kim saeron fly high,7
270,Tbh what do you guys honestly get from spreading all these rumours and trying to drag someone who doesn’tao have anything to do with her death and where was her parents???,62
271,but wasn'tao it also her choice?,12
272,"It was the same with the girl, you tormented her until she was no longer able to stand it, and now that she is no more you are trying to blame someone, so you will never stop?",56
273,Still can’tao understand why she stayed with him. And why did her parents allowed that. Cause it’sao not just his fault here but also her parents I’ll say because they allowed anh 27 year old man to dateher,74
274,we already know who'sao gonna win for this case always the RICH people. he'sao so rich. there'sao no justice for people BELOW them,47
275,Not that Im saying it’sao ok to date 16 yo but wasnt the legal consent age in Korea 13 back in 2016? Morally its wrong but apparently was still legal. Korea also failed her if these allegations are true,64
276,#JUSTICEFORKIMSAERON,11
277,so it'sao confirmed they dated when she'sao minor??,20
278,what money is she owing her company why don'tao we tell our self true in industry nobody love each so they can'tao bring this guy downfall,46
279,Poor girl died for nothing,8
280,why her parents didn'tao say nothing,13
281,I still can'tao believe there are people protecting him,19
282,is true though the YouTube channel is to spread rumors I don'tao know anything I am not taking sides okay I just know she passed away,43
283,Not me when i knew that i screamed BENZEMAAAA,20
284,Omg this song Ahahaha handmaiden so scary for me I remember this movie I wasn’tao able to watch it in the cinema cuz of R21,41
285,RIP #KimSaeron. justice will prevail. no wonder i never watch #KimSoHyun shows or movies.,33
286,The doctor revealed she was forced to take abortion while she was just anh minor,26
287,"He was my favorite actor, i can'tao hate his movies bc it made me happy before.I will hate his action , about what he did.",45
288,Theres nooooooo proof that they were togethet when she was 15 ! And mày not in his side but thers no proof !,39
289,can somekne tell me qhat happened? did shi die??,21
290,No cos I felt evil vibes whenever I watch him on kdrama,20
291,may Đi the issue plsssssp idkkk anything I wanna know,20
292,"I heard someone said that they met when she was 15 that she wasn’tao dating him at the same time, but I need to go digging",44
293,It’sao normal for me cuz they haven’tao found out yet,20
294,okay but why did her parents wait so long to say something? why did they let him date her ??,33
295,Do you know how tired we are working for God?,14
296,Oh wow he really spoiled không dramas for me now.. I don’tao wanna watch anymore,27
297,she wasn'tao forced tho....,10
298,I love Kim Soo Hyun,5
299,Does South Korea thêm two more years to your real age? So she was probably actually 13,25
300,"why can'tao these people blame those who bully Sae ron, I think you guys are really happy posting something and getting so many likes.",47
301,Không-Drake,3
302,Rn in korea none cares about it mostly people have no idea,19
303,Please don’tao ask me to prove it,12
304,i just started watching my first kdrama where Kim Soo hyun acted. WHAT.,24
305,"This taught me never to say ""mY fAvEs WoUlD nEvEr"" ever again",26
306,What anh huge disappointment,10
307,actually she was 14 cuz the age in Korea is different,17
308,this is the Korean version of two face and Annie,11
309,The fact he didn'tao attend her funeral tells you all you need to know!,27
310,me and Jungkook RN:,8
311,can someone elain olss,8
312,Can someone elain the whole story,11
313,Anh birthday gift of sae ron to soo hyun is her funeral.,19
314,Never will I ever watch his dramas,12
315,disappointed,5
316,don'tao come after me please,9
317,Can'tao jump into conclusions,10
318,gojo x yuji same age,8
319,bro I have the same Korean name as him,13
320,and yet some ppl are still defending him SHE WAS 15 NOT 18 NOT 20 BUT 15,28
321,justice for jim saeron. cancel culture for soomen,17
322,When you find out these informations pls?,15
323,Are you ready for the truth Gì?,12
324,Is the girl dead?,6
325,I will never trust people ever in my life.,15
326,I didn’tao know it was him,12
327,oh so this is what he dud,10
328,I can'tao believe Kim soo hyun :,11
329,Pls guys elain I don’tao understand,14
330,SHE'Sao JUST Anh CHİLD,11
331,Blood hounds in real life,8
332,And people still support him,9
333,.. I liked him too,8
334,what happened,5
335,what happen,4
336,Not like us on,5
337,wasn'tao she in bloodhounds?,13
338,what'd he do?,7
339,bro im actually dead.,8
340,WHAT?!,5
341,I got yo bro,5
342,what happened?,6
343,what did he do??,8
344,Whaaaattttt,7
345,WHAT??,5
346,what happened to her?,8
347,La muerte de Kim Sae Ron fue culpa de la misma sociedad Coreana.,23
348,"mientras ella sufría,el como si nada están injusto q solo porque lo han idealizado,guapo no significa q tengan q apoyarlo las esperanzas de kim saeron desparecieron con la traición de kimn soo hyun.",70
349,"woy lu pada jgn cancel Kim Soo Hyun doang, aliando juga noh busettt daaahh malah ditonton filmnya",38
350,"sadar juga ga si, di indo juga ada aktor yg begini",20
351,y sus padres de ella en donde estaban?,13
352,"ладно, окей. Где была ее тетя, когда она в свои 15 лет встречалась с почти 30-ти летним парнем?",74
353,Y los papas también son los culpables,13
354,"y luego dicen que ella sabía lo que hacía, era una NIÑA todavía!!! anh esa edad una piensa que se está comiendo el mundo, ÉL era el adulto! ÉL tenía que alejarse!",64
355,"gente, tipo assim, não estou defendendo, mas ele não namorou sozinho não. Ela também quis namorar com ele, em os responsáveis dela autorizaram",55
356,você defendendo,7
357,la sociedad coreana causó su muerte pero sus esperanzas desaparecieron con la traición de Kim soo hyun.,34
358,Он помогал ей в тот период с деньгами. Не надо слышать и видеть только то что хотите!,67
359,Padahal suka bngt nonton yg cewek apalgi pas dia masih kecil,26
360,tengo 26 y jamás se me haría atractivo un NIÑO de 15,20
361,umur segitu masih minor plus labil kalo ada orang yg baik sama dia pasti dijadiin tempat bergantung dan dia bisa dimanipulasi,45
362,"Su relación duro 6 años , y por ende su familia no hizo nada al respecto, así que no culpen al actor por todo .",42
363,"ini lah gw selalu bilang kesiapapun, jangan normalisasi orang dewasa pacaran sama minor, pasti kena grooming, kasian kah udah begini? yang rugi siapa? jelas ceweknya",67
364,ما أحط لوم عليه صراحة لأنو لو كانت هي بعقلها في هداك الوقت ماكانت واعدته و هي قاصر يمكن كمان ماكانو يتواعدون بس أصدقاء و نحن ماسمعنى تصريحات لهلء لذلك لازم مانحكم من رأي شخص واحد و جهة نظر شخص واحد,157
365,تعتبر على عمر 15 طفله يعني هو العاقل في العلاقه فيكون هو الملام,50
366,ele é meu ator favorito... não acredito,13
367,aktor indo ada juga yg begini tapi fansx malah dukung,23
368,kalo di indo nih ada pemain djs,13
369,Em adivinha qual idade ela tinha quando ele terminou com ela? kk,22
370,"Nada le costaba anh kim soo hyun apoyar anh kim Sae ron ya que era su agencia quien le estaba cobrando el dinero, tal vez con un poco más de empatía se hubiese evitado su muert",60
371,bişey dicem tek adam suçlu olmuyor ki kızda kendinden büyük adamla neden sevgili oluyor,41
