ID,Comment Text,Token Count,Label
11,Lee Jin-ho cũng đúng là đồ rác_rưởi . Phải tống_cổ cái thằng Lee Jin-ho đó vào tù chung_thân .,25,Không liên quan
12,Phải làm cho Kim_Soo_Hyun bị giới giải_trí ruồng_bỏ .,14,Không ủng hộ
13,Trên trán viết phản_đối luận_tội kìa,8,Không liên quan
14,Thật đáng tiếc Sự_thật thì chỉ có họ mới biết thôi . Mong là họ đừng vui_mừng quá,20,Trung lập
15,Loại cha_mẹ nào lại biến con gái đã chết thành chủ_đề bàn_tán vậy ? Loại người đẩy cả người sống vào chỗ chết là loại người không có lương_tâm . Xin hãy dừng lại đi .,41,Không ủng hộ
16,"Thằng đó mà là học_sinh cấp 2 thì bằng tuổi con trai tôi rồi . Đúng là thằng khốn , đáng bị trời phạt . Phải từ_bỏ hết Disney Trung_Quốc thôi .",38,Không ủng hộ
17,Chúng_tôi hoàn_toàn ủng_hộ bạn .,8,Ủng hộ
18,"Tôi đọc các bình_luận và bị sốc , làm_sao có_thể phần_lớn mọi người lại nhảy lên chuyến tàu lạm_dụng truyền_thông như_vậy , họ thậm_chí không tìm_kiếm sự_thật từ một quan_điểm trung_lập hay tự mình suy_luận . Thật là một xã_hội điên_rồ ! Đây là lý_do thực_sự tại_sao các nghệ_sĩ của họ biến mất khi còn trẻ , vì sự bắt_nạt trên các phương_tiện truyền_thông , điều này đáng_lẽ phải bị xử_phạt và cấm ở cấp quốc_tế . Tôi nghĩ người tiếp_theo đang đến gần vì những bình_luận của các bạn , hãy suy_nghĩ về điều đó",129,Ủng hộ
19,"Nhưng_mà nghe nói Kim_Soo_Hyun với Kim_Sae_Ron chia_tay rồi , cô ấy kết_hôn với người khác ở nước_ngoài và sống ở đó mà ... Vậy_thì mối quan_hệ với Kim_Soo_Hyun trong quá_khứ đã kết_thúc rồi , cô ấy phải bàn_bạc với chồng mình chứ ? Dù Kim_Soo_Hyun có nhiều tiền đi_chăng_nữa thì Kim_Sae_Ron đã là người trưởng_thành , gây ra tai_nạn lái_xe khi say rượu , người_yêu cũ có nghĩa_vụ phải giúp_đỡ sao ? Và chuyện quá_khứ có yêu_đương với người vị_thành_niên hay không có_vẻ không phải là trọng_tâm ? Có_vẻ như họ đang khơi lại chuyện quá_khứ để tạo ra một vấn_đề khác thôi .",149,Trung lập
20,"Chỉ toàn kích_động cảm_xúc để biến Kim_Soo_Hyun thành rác_rưởi , chẳng có kết_luận gì cả . Việc đó thì liên_quan gì đến chuyện hẹn_hò khi còn vị_thành_niên ?",42,Trung lập
21,Cách kiếm tiền thì muôn_hình_vạn_trạng . Tỉnh_táo lại đi .,14,Không liên quan
22,"Tất_cả các bà mẹ ở Hàn_Quốc phải bảo_vệ mẹ của Kim_Sae_Ron . Vấn_đề này rất nghiêm_trọng . Nếu văn_hoá Hàn_Quốc không đủ mạnh để giải_quyết vấn_đề này , sẽ có nhiều Kim_Soo_Hyun hơn trong tương_lai . Ảnh_hưởng của người mẹ là vô_cùng lớn . Mong tất_cả các bà mẹ Hàn_Quốc hãy ủng_hộ vai_trò của Kim_Sae_Ron trong việc đấu_tranh cho công_lý cho người con gái xinh_đẹp đã chết dưới bàn_tay của những kẻ ấu dâm tàn_ác .",107,Không ủng hộ
23,"Đừng sợ cái chết , thưa mẹ . Nếu con là mẹ , con sẽ không màng đến sống_chết mà chiến_đấu đến_cùng . Đừng mong cầu sự bình_yên . Hãy nhớ rằng họ đã vô_cùng tàn_nhẫn với mẹ_con Kim_Sae_Ron , tàn_nhẫn và đáng thương đến mức chưa từng gặp Kim_Sae_Ron , không nhận điện_thoại , và không muốn cho Kim_Sae_Ron cơ_hội trả nợ . Thưa mẹ Kim_Sae_Ron , đừng sợ_hãi , hãy chiến_đấu đến giọt máu cuối_cùng , tiến lên cho đến khi chết để những kẻ gây ác cho con gái yêu_quý của mẹ phải cảm_nhận được sự tàn_khốc mà chúng đã gây ra . Hãy dốc hết_sức mình .",146,Không ủng hộ
24,"Kiếm thì kiếm được nhiều thật nhưng_mà không có gì đặc_biệt mà_lại còn quá to nữa . Về mặt ngoại_hình thì phải là Jung_Woo_Sung ... Thành_thật mà nói , phải có chút tinh_tế để thừa_nhận và công_nhận điều đó chứ . Kim_Soo_Hyun đúng là đồ hèn_nhát .",62,Không ủng hộ
25,Từ giờ tôi sẽ không dùng bất_kỳ sản_phẩm quảng_cáo nào của Kim_Soo_Hyun nữa . Hoàn_toàn vô_liêm_sỉ ... Coi_thường và kiêu_ngạo với tất_cả người tiêu_dùng và người xem . Quá xảo_quyệt .,45,Không ủng hộ
26,"Đây đúng là một hành_động tàn_nhẫn để thúc_đẩy động_lực , Kim_Soo_Hyun nhỉ ?",21,Không ủng hộ
27,Một người đã chết .,5,Không liên quan
28,Lại định giết thêm một người nữa hả ? Vừa vừa thôi . Cả hai đều chẳng tốt_đẹp gì đâu,21,Không ủng hộ
29,"Tôi chắc_chắn rằng tất_cả những người phàn_nàn ở đây đều là những người ghét người đã khuất khi còn sống . Những kẻ đạo_đức giả ! ! Đến tận bây_giờ , họ vẫn cố_gắng "" làm trong_sạch "" tên_tuổi của cô ấy vì cái gọi là người dì , người đã không giúp_đỡ gì cho cuộc_đời cô ấy khi cô ấy còn ở cùng người_thân ? Khi cô ấy cần , cô ấy đã tìm đến bạn_bè . Khi cô ấy còn sống , họ chỉ coi cô ấy như một cái máy ATM và bây_giờ họ vẫn muốn lợi_dụng ký_ức về cô ấy .",127,Ủng hộ
30,Còn sót lại cả video kiểu này được đăng lên hồi vụ Lee Sun-kyun nữa này .,20,Trung lập
31,"Thật_sự thì Gaseyeon làm_việc cho đất_nước nhiều hơn cả các nghị_sĩ của đảng Sức_mạnh Quốc_dân . Cảm_ơn vì đã đứng ra làm những việc khó_khăn . Tôi xin được ủng_hộ chút_ít . Và tôi có một thắc_mắc là nếu gọi là "" 각하 "" bệ_hạ thì liệu phe Dân_chủ có vịn vào đó để luận_tội lần nữa không ? Tôi nghĩ rằng nếu bác_bỏ thì sẽ không còn lý_do gì để luận_tội nữa , đó là suy_nghĩ cá_nhân của tôi .",107,Không liên quan
32,Mọi người xem video vừa_mới lên chưa ? Kết_hôn cơ đấy ... Haizz ... Đến nước này rồi mà vẫn đổ tại Kim_Soo_Hyun gây ra cái chết à ? Chắc_chắn là biết chuyện này rồi nhưng sao không nói ra ? Vừa_phải thôi đi .,54,Không ủng hộ
33,"Tôi nghe nói là khi Kim_Sae_Ron lái_xe trong tình_trạng say_xỉn , có việc công_ty tiếp_đãi rượu đến tận sáng . Xin hãy xác_nhận tính xác_thực của việc này . Fan cần biết sự_thật để giải_toả hiểu lầm .",52,Trung lập
34,Tôi tha_thiết mong Kim_Sae_Ron sẽ được phục_hồi danh_dự . Thật tiếc cho Sae_Ron quá . Thật đau_lòng .,27,Không ủng hộ
35,"DỪNG LẠI HÀN_QUỐC , ĐỦ RỒI ĐẤY , ĐỪNG VU_KHỐNG VÀ TUNG TIN_ĐỒN ĐỂ PHÁ_HOẠI HÌNH_TƯỢNG NỮA , KIM_SOO HYUN KHÔNG PHẢI LÀ NGƯỜI ĐẦU_TIÊN ĐÂU , CÓ NHIỀU NGƯỜI ĐÃ PHẢI CHẾT VÌ ÁP_LỰC CỦA BÁO_CHÍ GIẬT_GÂN RỒI , DỪNG LẠI DỪNG LẠI",107,Ủng hộ
36,Ai đã tiêu hết tài_sản của Kim_Sae_Ron vậy ? Kim_Soo_Hyun à ?,19,Không ủng hộ
37,Tự_sát à !,4,Không liên quan
38,"Lại tóm được một vụ ngang_dọc nữa rồi . Đúng là lũ trẻ trâu , định moi được bao_nhiêu tiền đây .",27,Không ủng hộ
39,Tôi theo_dõi tin này ... tôi đến từ INDONESIA,14,Không liên quan
40,"Kể_cả khi súng kề vào đầu mày , mày vẫn ủng_hộ thiết_quân_luật à ?",19,Không liên quan
41,""" Tả_khuynh là gì ? """,9,Không liên quan
42,""" Chó sủa cái gì vậy ? """,9,Không liên quan
43,Mấy thằng GaSeYeon đúng là lũ điên . < br > Chuyên moi_móc chuyện của người khác để kiếm tiền .,24,Ủng hộ
44,Vậy là mọi người đều muốn Kim Soo-hyun cũng thất_bại nên mới làm_vậy hả ? ? Vừa vừa thôi đi .,25,Ủng hộ
45,Đến tôi còn không ngờ mình lại đi cổ_vũ cho Garo_Sero .,15,Ủng hộ
46,Dậy đi anh Kim_Soo_Hyun ơi .. Anh phải làm_việc thật chăm_chỉ thì mới có_thể vượt qua được cơn bão này . Chúng_em luôn ủng_hộ anh . Anh phải đứng lên và xuất_hiện thật tươi_tỉnh nhé . Vấn_đề xảy ra bây_giờ chỉ là chuyện quá_khứ thôi . Em tin anh có_thể vượt qua được .,69,Ủng hộ
47,"Thật không_thể tin được làm_sao tin_buồn này lại lan đến khắp thế_giới , chúng_ta không muốn thấy thêm bất_kỳ kẻ ấu dâm nào trên thế_giới nữa .",35,Không ủng hộ
48,"Nếu không có luận_tội Yoon Suk-yeol , thì đây không phải là đất_nước .",19,Không liên quan
49,"Cảm_ơn vì đã xử_lý vấn_đề đúng cách , Kim Se-ron.",16,Không ủng hộ
50,"Không còn gì để nói , cái nơi này chắc_chắn là trại tâm_thần rồi",17,Không liên quan
51,Có_thể thêm phụ_đề Trung-Anh không ? Thật_sự không hiểu gì cả .,17,Không liên quan
52,"Vậy_thì xem_ra Jo_Se_Ho cũng tham_gia vào ngày 25 , không phải là người đoạn_tuyệt nhanh nhất nhỉ ... Cùng nhau uống rượu , vui_chơi mà bảo là đoạn_tuyệt thì lời_nói khác mà ...",45,Trung lập
53,"Một người phụ_nữ đã phải vật_lộn từ khi còn nhỏ bị huỷ_hoại bởi công_ty vàng , Kim_Soohyun , cư_dân mạng , youtuber Lee_Jun hoo , thật tàn_nhẫn khi họ đối_xử với con_người .",51,Không ủng hộ
54,Chính những người đã công_kích cô ấy trên mạng xã_hội giờ_đây lại mang dòng máu của cô ấy .,22,Không liên quan
55,"Đây là nhà_báo á ? ? Tính chuyên_nghiệp quá kém . Cứ lúng_túng , đâm_đầu lung_tung , chia_rẽ tất_cả những người được nhắc đến , luận_điểm thì không có logic , tư_duy đen_trắng như đứa trẻ 5 tuổi , quá nhiều kẻ_thù . Cũng đáng bị loại khỏi đề_cử của Quốc_dân chi lực . Đến học_sinh cấp 2 bây_giờ trình_độ còn cao hơn . Đừng lôi người chết ra mãi thế nữa , không thấy có lỗi với Saeron à !",105,Không ủng hộ
56,"Chuyện nam_nữ yêu nhau rồi chia_tay ... là chuyện thường_tình , nhưng nói là vứt bỏ như đôi dép rách thì có chấp_nhận được không ?",32,Trung lập
57,Đồ chương_trình bẩn_thỉu đem chuyện của Sae_Ron đã chết ra để thao_túng chính_trị ! ! Ghê_tởm . Chuyện của Sae_Ron khi nào mới ra đây ! !,40,Không liên quan
58,Kim_Soo_Hyun đúng là ông chú ngớ_ngẩn thật .,12,Không ủng hộ
59,Một gã sống cho ngày_mai sẽ là miếng mồi ngon khi đối_đầu với một gã sống cho ngày hôm_nay .,23,Không liên quan
60,"Mày tệ lắm Garosero , cố lên Kim_soo hyun .",13,Ủng hộ
61,Cái không gì vậy,4,Không liên quan
62,"Không_thể tin được những người này huỷ_hoại cuộc_sống của diễn_viên như_thế_nào , hy_vọng họ kiện bọn chúng .",28,Ủng hộ
63,Thằng chó nhân_cách rác_rưởi Chôn sống nó đi ! ! !,15,Không ủng hộ
64,Mày sẽ phải trả_giá bằng cái chết ! !,11,Không ủng hộ
65,"Xã_hội Hàn_Quốc thối_nát , chúng nghĩ mình hoàn_hảo nên mới có nhiều vụ tự_tử đến vậy .",24,Không liên quan
66,"Nhưng nếu bố_mẹ biết từ lâu rồi , sao không tố_cáo đi ?",17,Trung lập
67,700 triệu làm tôi bật cười . Cuộc_đời tiêu rồi haha . 700 triệu 700 triệu 700 triệu hahaha . Đồ ngốc .,28,Không ủng hộ
68,Thật đau_lòng cho Saeron . < br > Nhưng mọi chuyện chỉ có hai người biết . < br > Việc dồn Kim_Soo_Hyun vào thế_này và huỷ_hoại cuộc_đời một người là sai_trái .,44,Không ủng hộ
69,Kênh này cũng vậy . Người đã khuất Lee_Sun_Kyun cũng là một nạn_nhân .,18,Trung lập
70,"YouTube tàn_nhẫn , nơi người thứ ba xâu_xé lỗi_lầm của người khác đến tận linh_hồn . Không hề xem_xét hoàn_cảnh hay môi_trường của người được gọi là thủ_phạm , chỉ thể_hiện bản năng động_vật tàn_nhẫn .",51,Trung lập
71,"Mong Kim_Soo_Hyun vượt qua được khủng_hoảng này . Nếu có làm sai , hãy xin_lỗi . Mong anh đừng để bị lung_lay bởi mấy kênh YouTube này .",34,Ủng hộ
72,"Thấy cái thằng phản_đối luận_tội bênh_vực Shin Se-kyung , đúng là không hợp tí nào ...",23,Không ủng hộ
73,"Không_thể bỏ_qua loại người này được , phải trừng_trị thôi .",14,Không ủng hộ
74,Vô_cùng thương_tiếc Kim_soo hyun .,8,Ủng hộ
75,Đây có phải là tài_khoản thật của Garesero không vậy ?,15,Trung lập
76,Không có tiếng Indonesia hả bạn ?,8,Không liên quan
77,"Xin chào . Tôi đến từ Argentina . Tôi đang sử_dụng máy dịch để giao_tiếp . Chúng_tôi nghĩ rằng xã_hội Hàn_Quốc rất khắc_nghiệt với những người nổi_tiếng . Thay_vì cho họ cơ_hội sửa_chữa sai_lầm , họ lại quấy_rối đến_cùng và cuối_cùng dẫn đến cái chết . Trong trường_hợp của Kim_Sae_Ron , tôi nghĩ cô ấy còn quá trẻ và không đáng phải chịu_đựng đến vậy . Mặt_khác , Kim_Soo_Hyun có_lẽ là một trong những diễn_viên được yêu thích và nổi_tiếng nhất ở nước_ngoài , nhưng việc qua_lại với trẻ vị_thành_niên là điều không_thể tha_thứ được , và trong thế_giới này , không có cách nào để anh ta phục_hồi danh_tiếng của mình . Anh ấy đã mất hàng nghìn người hâm_mộ và hoàn_toàn bị chỉ_trích vì thao_túng và quan_hệ với trẻ vị_thành_niên . Nhưng khi nhìn vào những cuộc tấn_công vào Kim_Sae_Ron , tôi cảm_thấy sự căm_ghét quá mức của cư_dân mạng Hàn_Quốc thật đáng sợ !",212,Trung lập
78,Hãy ngăn_chặn các tác_phẩm mới của Disney Plus và khiến họ phải bồi_thường thiệt_hại hàng trăm tỷ won ... Hãy phản_đối Disney Plus .,30,Không liên quan
79,"Lần đầu bình_luận , với thu_nhập của Kim_Soo_Hyun thì 700 triệu won chắc chỉ đáng_giá một bát cơm thôi nhỉ ... Sao đến cả cái đó cũng muốn ăn hết vậy , phải làm đến mức này sao ...",47,Không ủng hộ
80,"Chắc phải quay "" Tôi thấy ác_quỷ 2 "" với vai chính mất",14,Không ủng hộ
81,Xin thành_kính phân_ưu .,6,Không liên quan
82,"Mày đúng là đồ tồi_tệ , con_bé đó là bạn gái mày mà mày đã ngủ cùng , rồi mày đá nó và còn ép nó trả nợ .",33,Không ủng hộ
83,"Thật_sự là có rất nhiều lựa_chọn để làm rất nhiều hành_động khác nhau , vậy_mà việc cố_gắng quyết_tâm nhất lại là tự kết_liễu đời mình vào ngày sinh_nhật của người đó ... Chuyện này có_lý không vậy ?",49,Trung lập
84,"Tôi nghe nói Linoui = Simmadam = Choi_Jinsil = Jo_Sungmin = Choi_Jin_Young đều có liên_quan đến nhau . Choi_Jin_Young có quen_biết với Simmadam . Sau khi kết_hôn , anh ấy giới_thiệu Simmadam để giúp Jo_Sungmin tìm đối_tác kinh_doanh , và rồi Simmadam phải_lòng Jo_Sungmin . Choi_Jin_Young cảm_thấy đau_khổ vì tội_lỗi đó , mâu_thuẫn giữa Choi_Jinsil và Jo_Sungmin ngày_càng sâu_sắc , vậy.vậy. Sau đó , Linoui ra_mắt . Những người nổi_tiếng thân_thiết với Simmadam đều mang túi Linoui và đi khắp_nơi , quảng_bá cho nó . Tôi nghe nói rằng giám_đốc thực_tế = Simmadam có tầm ảnh_hưởng lớn trong giới chính_trị , giải_trí , vậy.vậy. Thật đáng thương cho Saeron khi nghe thấy câu_chuyện về Linoui ở đây . Tôi cảm_thấy nghẹn lòng .",199,Không liên quan
85,Một câu_chuyện buồn . Cô ấy mất vào ngày sinh_nhật của anh ấy . Ra đi quá sớm . Xin chào từ Indonesia . Đã đăng_ký kênh của anh rồi nhé Oppa,39,Không liên quan
86,Người bình_thường ngay từ đầu đã không gặp_gỡ vị_thành_niên rồi . Có_vẻ như Kim_Sae_Ron còn quá nhỏ nên không biết nhìn người .,32,Không ủng hộ
87,"Chắc_hẳn đã tin_tưởng vì được hứa_hẹn sẽ lôi_kéo đi khi hết hợp_đồng với YG , đào_tạo tân_binh và chịu trách_nhiệm ! ! !",33,Trung lập
88,Tôi đã từng có cái nhìn tốt về Kwanghee ... Lee Si-eon cũng ... Kian84 cũng Đang chơi bẩn_thỉu với Kim Soo-hyun kìa .,36,Không ủng hộ
89,Thật là nực_cười khi một kẻ thích nội_dung khiêu_dâm như Moon Hyung-bae lại là Chánh_án Toà_án Hiến_pháp .,30,Không liên quan
90,"Tổng_thống Yoon Suk-yeol , cố lên !",13,Không liên quan
91,Nếu không gặp Kim_Soo_Hyun thì chắc đã diễn_xuất tốt và sống tốt rồi ... Đồ con_mẹ mày .,24,Không ủng hộ
92,Bực thật . Những lúc thế_này chẳng phải Tổng kiểm_sát trưởng phải điều_tra mạnh_mẽ mới là bình_thường sao ?,25,Không liên quan
93,Điều_tra triệt_để đến khi sự_nghiệp tàn_lụi .,11,Không ủng hộ
94,"Không biết nữa nhưng chuyện này thật là mờ_ám , vì nếu diễn_viên kia được cho là có quan_hệ với cô gái khi cô ấy 15 tuổi , nếu gia_đình cô ấy biết chuyện , tại_sao họ không kiện hoặc làm ầm_ĩ lên ? Đến tận bây_giờ khi cô gái không còn nữa thì mọi chuyện mới thành_ra thế_này .",73,Trung lập
95,"Nhưng_mà , bỏ_qua mấy cái vấn_đề thủ_tục đi , cả nước người ta thấy hết rồi . Đêm hôm yên_bình bỗng tan_tành mây_khói chỉ vì hành_động sai_trái của một người , vậy_mà không có trách_nhiệm gì , cứ lôi lỗi sai thủ_tục ra nói ... Thật là hèn_hạ .",67,Không ủng hộ
96,"Có tin_đồn Kim_Soo_Hyun sinh năm 86 , điều đó có thật không ?",17,Trung lập
97,Vui_lòng cho tôi bản dịch,6,Trung lập
98,"Căn_hộ mà nữ diễn_viên thể_hiện trong chương_trình tạp_kỹ năm 2020 thuộc sở_hữu của công_ty của nữ diễn_viên , và cô ấy đã tiếp_quản công_ty đó vào năm 2023 , điều này đã được luật_sư của cô ấy xác_nhận vào thời_điểm đó .",57,Không liên quan
99,"Nếu_mà thực_sự thông_minh thì đã tìm_hiểu trước rồi . Từ 2009 đến 2016 là ở Fantagio , từ 2016 đến 2019 là ở YG .",32,Không liên quan
100,Rác_rưởi .,4,Không ủng hộ
101,Có bản tiếng Indonesia không vậy,6,Không liên quan
102,"Anh ta thật_sự tệ_bạc với người_yêu cũ . Anh ta giàu_có mà không giúp_đỡ thì_thôi , lại còn kiện ra toà và chụp hình tin nhắn_gửi cho báo_chí . Nghệ_sĩ này có lối sống không ra gì .",50,Không ủng hộ
103,"Mặt thì giả nai , sau lưng lăm_lăm dao nhọn . Còn đi gaslighting trẻ_con , Rồi giở_trò sàm_sỡ . Mày sẽ bị trời phạt .",36,Không ủng hộ
104,Eo_ôi ...,5,Không liên quan
105,"Xin hãy thêm phụ_đề tiếng Indonesia , làm_ơn",13,Không liên quan
106,Tôi đến đây vì xem TikTok ... Lạc đến tận gốc thế_này cũng không sao chứ nhỉ,19,Không liên quan
107,Nói_gì không hiểu gì hết trơn á haha .,11,Không liên quan
108,Xin hãy tải ảnh lên thư_viện theo ngày_tháng năm để sự_thật về Kim_soo hyun và Kim sae ron nhanh_chóng được phơi_bày để có bằng_chứng mạnh_mẽ,34,Trung lập
109,Nếu là thật thì Kim_Soo_Hyun đúng là hình_mẫu của нарцисист người mắc chứng нарцисизм ...,34,Không ủng hộ
110,Ước gì em ấy sống ngẩng cao đầu như chị Lee_Ji_Ah ở tuổi 15 ... Có_vẻ như Saeron quá tốt_bụng và non_nớt .,30,Trung lập
111,Ngày_xưa Baek_Jong_Won đáng sợ thật . < br > Nhưng giờ đầu anh ấy ở trên đầu mọi người rồi .,26,Không liên quan
112,Tôi muốn mọi thứ về Kim Soo-hyun bị phơi_bày hoàn_toàn và vứt vào thùng rác .,21,Không ủng hộ
113,"Chắc Kim Soo-hyun cũng phải sởn da_gà nhỉ Đang lúc phim đóng cùng Kim Ji-won nổi như cồn thì tự_nhiên đăng ảnh chụp chung lên story làm hình_tượng kỳ_quặc đi , ngày đáng_lẽ phải được chúc_phúc thì lại chết không kịp trăn trối .. Nếu là tôi thì tôi cũng sợ đến mức không dám đi đám_tang và thấy sởn cả gai_ốc ấy chứ , mức_độ ám_ảnh đúng là quá_đáng ..",86,Không ủng hộ
114,Kim Se-eui không tung tin nếu không có bằng_chứng xác_thực . < br > Không phải tự_nhiên mà anh ấy được gọi là Kim_Fact . < br > Lần này lại một lần nữa tôi phải ngạc_nhiên .,46,Không ủng hộ
115,Anh Su-hyeon thật xấu_xí .,9,Không ủng hộ
116,"Đồ không có lương_tâm , đến trẻ_con cũng không tha .",14,Không ủng hộ
117,"Không phải tiền_bạc quan_trọng , mà là cái chết cần_thiết ... Tế thần bằng người ...",22,Không liên quan
118,Đúng là MBC cũng không được bình_thường khi tập_hợp mọi người lại để tổ_chức cái party đó .,21,Không liên quan
119,"Nhẹ_tay thôi . < br > Kiếm bao_nhiêu tiền rồi còn gì , < br > Gánh nặng tâm_lý với đứa trẻ_con lớn cỡ nào chứ . < br > Tch tch .",40,Không ủng hộ
120,"Xin thành_kính phân_ưu . Lời kêu cứu "" Xin hãy cứu tôi "" khiến nỗi buồn ập đến . Kim_Soo_Hyun , quá thất_vọng , thất_vọng quá .",35,Không ủng hộ
121,Cảm_ơn và ủng_hộ bạn .,7,Ủng hộ
122,Đã trao trinh_tiết rồi mà đến đám_tang cũng không thèm đến Panty_Soo_Hyun tự kiểm_điểm đi,21,Không ủng hộ
123,"Thật đáng thương ... Một đứa trẻ có_thể lớn lên khoẻ_mạnh và làm những gì mình muốn , nhưng không ai bảo_vệ được em cả .",34,Không ủng hộ
124,"Hả ... Cứ tưởng còn trẻ , ai_ngờ toàn làm_trò của mấy ông chú . Ghê_tởm ...",23,Không ủng hộ
125,Giá_mà có ai đó giúp_đỡ thì tốt ... < br > Thương quá đi mất < br > Nghe hàng_xóm nói đã khóc rất nhiều ở cầu_thang ...,36,Không ủng hộ
126,Wow ... Kim Soo-hyun ... vụ này phải ra toà thôi .,17,Không ủng hộ
127,"Không cần biết những chuyện khác , có người đã chết rồi Su-hyun ơi , trên đời này ㅡㅡ Không_thể tin được ! ! ! !",31,Không ủng hộ
128,Thật đáng thương .,4,Trung lập
129,Hoan_hô chú !,4,Ủng hộ
130,"Anh ta đã nói_dối . Anh ta gặp cô ấy khi cô ấy 15 tuổi . Nếu không có chuyện tình_cảm , làm_sao Kim Soo-hyun có_thể thuyết_phục Kim Sae-ron đổi công_ty để đến làm_việc cho công_ty của anh ta trước ?",56,Không ủng hộ
131,Không có sub Indo à,6,Không liên quan
132,Tôi lạc đường ở đây mất rồi,7,Không liên quan
133,"Sau khi đến công_ty của Kim_Soo_Hyun , Kim_Sae_Ron đã không_thể đảm_nhận vai_trò mình mong_muốn như ở công_ty cũ . Khi sự_cố xảy ra , công_ty đã không giúp_đỡ giới truyền_thông , phớt_lờ cô ấy , đàn_áp và cố_gắng kiện cô ấy .",62,Không ủng hộ
134,""" 가로새로_감사 "" đã bị đổi thành "" 간사 "" . Xin đính_chính lại .",22,Không liên quan
135,"Garo_Sero , cảm_ơn . Nếu không thì có_lẽ đã mất đi một bảo_vật đáng tiếc là nữ diễn_viên tài_năng Sae_Ron mà không hề hay_biết . Phải nuôi_dưỡng nhân_tài chứ , sao lại giết người ?",49,Không ủng hộ
136,"Ăn đã_đời rồi vứt đi , ghê thật ...",11,Không ủng hộ
137,Tôi xin chia buồn sâu_sắc đến người đã khuất . Cần phải làm sáng_tỏ mối quan_hệ với Kim Soo-hyun cảnh_sát nên điều_tra . Moon Hyung-bae ! Chuyện em vợ với nhau ... Thật không còn gì để nói . Một người như_vậy lại là thẩm_phán toà_án hiến_pháp . Người này lại phán_xét về luận_tội tổng_thống . Thật là tức_giận .,82,Không ủng hộ
138,Nếu hẹn_hò 6 năm rồi chia_tay thì < br > Có phải nên trả tiền bồi_thường không < br > Người_yêu cũ phớt_lờ lời cầu_xin tha_thiết vì quá khó_khăn < br > Đúng là kẻ máu lạnh < br > < br > Đã phải < br > Oan_ức đến mức nào mà_lại rời xa vào ngày sinh_nhật người_yêu cũ như_vậy < br > Xin chia buồn sâu_sắc với người đã khuất,93,Không ủng hộ
139,"Cô ấy đang nói gì vậy , làm_ơn dịch giúp tôi với",14,Không liên quan
140,"Gada sub Indo , không hiểu gì cả",9,Không liên quan
141,Tại_sao ... lại không nộp vậy ... Hèn_chi người không có tiền thì có tội .,20,Không ủng hộ
142,Chắc Kim_Sae_Ron sợ bị chửi_rủa nên đợi đến tận 1 năm sau khi mọi chuyện lắng xuống mới gửi thông_báo chính_thức ... Đúng như dự_đoán .,35,Trung lập
143,Bạn làm_ơn thêm phụ_đề tiếng Indonesia vào nhé .,12,Không liên quan
144,Mở được mật_khẩu iPhone á ? ?,8,Không liên quan
145,Bí_mật vĩ_đại điệp_viên Bắc_Hàn ! Con_rối của tư_bản Trung_Quốc cảnh_sát kỳ_cựu Quan_hệ với người chưa thành_niên và người nổi_tiếng mới Tả phái nhưng dễ_thương chỉ là concept Luật_sư LKB Lee Kwang-beom,50,Không liên quan
