ID,Comment Text,Token Count
205,Thăm bệnh,2
206,đúng là,2
207,Không quần,2
208,Không.,2
209,Có ở,2
210,Hehe,2
211,đây nhé,2
212,Đồng ý,2
213,Wow,2
214,Đúng là,2
215,May quá,2
216,Lên,1
217,Không não,2
218,Chào bạn,2
219,Buồn quá,2
220,Dễ thương,2
221,Anh...,2
222,Ừm.,2
223,Lên.,2
224,Saeron,2
225,Vực sâu,2
226,??,2
227,Ác quỷ,2
228,Cố lên,2
229,Sốc quá,2
230,Macro,2
231,100,1
232,Lên,1
233,Gayple,2
234,haha,2
235,Lên.,2
236,đồ tồi,2
237,chết mất,2
238,Không dịch,2
239,Java,1
240,20,1
241,Ừ,1
242,Video hả,2
243,Video hả,2
244,Dọc ngang,2
245,1 triệu,2
246,ừ,1
247,Bạn,1
248,17 tuổi,2
249,222,1
250,May quá,2
251,Ừa.,2
252,Hay quá,2
253,Luận tội,2
254,Đỏ,1
255,12 tuổi,2
256,Luận tội,2
257,Cố lên,2
258,nhỏ,1
259,11 tuổi,2
260,Chết mất,2
261,vãi,1
262,Luôn luôn,2
263,Ái chà,2
264,Anh ha,2
265,Rời Disney,2
266,Nhỏ thật,2
267,Cố lên,2
268,222,1
269,Luận tội,2
270,Từ Malaysia,2
271,không,1
272,Tệ thật,2
273,Haha,2
274,Soo Hyun,2
275,Chó chết,2
276,Cờ đỏ,2
277,Buồn nhỉ,2
278,Tệ quá,2
279,cờ đỏ,2
280,Lên,1
281,ốm,1
282,Trời ơi,2
283,ấu dâm,2
284,phải,1
285,Không ngờ,2
286,Saeron,2
287,Buồn quá,2
288,quá đáng,2
289,Hama,1
290,cuối cùng,2
291,Amiin,2
292,lên,1
293,Wow,2
294,Thứ tư,2
295,Có mặt,2
296,Có mặt,2
297,Thứ tư,2
298,Thứ tư,2
299,Có mặt,2
300,Đầu tiên,2
301,Có mặt,2
302,y,1
303,Gì,2
304,Đây,1
305,Sốc,1
306,Đầu tiên,2
307,Tin giả,2
308,Ác quỷ,2
309,Pedro Hyun,2
310,Đồ giả,2
311,Úng,2
312,5555,2
313,1,1
314,1,1
315,Tắt,1
316,Đúng rồi,2
317,1,1
318,Ốm.,2
319,Thật,1
320,1,1
321,1,1
