ID,Token Count,Comment Text,Label
57,32,"Sau những vụ_việc gần đây , đặc_biệt là drama của anh này , mình đã dần hiểu tại_sao Phương_Nhi gả vào nhà bác Vượng lại cần xoá hết mạng xã_hội .",Không liên quan
58,10,Còn tao tin anh từ đầu đến giờ rồi .,Ủng hộ
59,14,"+1 ủng_hộ only one , phản_bác anti từ lúc scandal mới nổ ra",Ủng hộ
60,33,"Ê mọi người có biết phản_ứng của fan Hàn với fan Trung thế_nào không , bên Netizenbuzz_Vtrans toàn thấy bình_luận tiêu_cực thôi , tội_nghiệp ông ấy ghê .",Trung lập
61,15,"Chia_tay rồi là phải "" hết tình nhưng còn nghĩa "" à ?",Trung lập
62,10,Lần đầu nghe được cái drama kỳ_lạ như thế_này .,Trung lập
63,37,"Sao cũng được , chỉ thấy một điều bên Hàn đối_xử bất_công với Kim_Soo_Hyun . Khi muốn kết_tội phạm_nhân , quan_toà phải xem_xét thời_gian mới quyết_định .",Ủng hộ
64,14,Nể mấy đứa tôn_sùng ấu dâm đến Kim_Ji_Won còn sợ .,Không ủng hộ
65,7,Biết ngay bọn SNH ấu dâm mà .,Không liên quan
66,4,Quay xe gắt quá .,Không ủng hộ
67,13,Vừa đọc tin mới thấy bảo bà này có chồng bên nước_ngoài rồi .,Không liên quan
68,12,Kèo này mà lật được thì em nể anh nhất đời .,Trung lập
69,11,"Hên quá hồi đó hóng , không bênh ai .",Trung lập
70,10,Tao bênh ổng từ lúc drama nổ ra đến giờ .,Ủng hộ
71,15,chưa biết có thăng_tiến không chứ giờ ở Hàn vẫn còn bị chửi ấy,Trung lập
72,37,"Không đâu , Hàn_Quốc không dễ như_thế đâu , chỉ cần dính vào bê_bối thôi là các nhãn hàng rút hết ấy . Với_lại chắc không_thể được như lúc trước nữa đâu ạ .",Không ủng hộ
73,8,"Thắng làm_sao được , sự_nghiệp tàn rồi .",Không ủng hộ
74,10,Liệu anh tôi có vào được hội Theliem không ?,Không liên quan
75,12,Hóng kết_quả hơn cả mấy con đề chờ xổ_số nữa .,Trung lập
76,8,Tôi cũng luôn tin_tưởng anh .,Ủng hộ
77,5,Chắc thắng chứ còn gì .,Ủng hộ
78,3,Luôn ghi_nhớ .,Không liên quan
79,6,ủa tôi tưởng lật kèo rồi,Trung lập
80,4,Không quay được .,Không liên quan
81,22,"Ôi trời_ơi , là ổng không làm sai gì ạ , tôi_tối cổ quá chưa cập_nhật tin_tức .",Trung lập
82,15,"Chỉ là nếu thôi , chắc gì đã thắng , làm_sao mà ngờ được chữ ngờ .",Trung lập
83,6,Ra_đời em nể mỗi anh .,Ủng hộ
84,19,"Không thắng về mặt pháp_luật hình_ảnh thì không thắng được đâu , nhãn hàng chỉ quan_tâm đến hình_ảnh thôi .",Không ủng hộ
85,3,Em tin anh .,Ủng hộ
86,6,Hóng drama riết hết hiểu .,Trung lập
87,26,Hợp_đồng lên tới nghìn tỷ mà có mấy đứa kêu huỷ hợp_đồng đi thì chắc nó nghĩ có vài nghìn bạc lẻ .,Trung lập
88,4,kimsoohyun,Không liên quan
89,64,"Tại Instagram của ảnh ít hoạt_động nên ít vào , mong hãy hoạt_động bình_thường lại đi để biết làm gì . Sao hạng Anh ít live thế , cứ live bình_thường mà nhờ vậy mới biết bạn như_thế_nào . Mong vững_vàng trong sự_nghiệp kế_tiếp , mong chặng này bạn sẽ đầy_đủ chân thiện mỹ mới thành_công nha .",Trung lập
90,14,Chỉ cần một_chút vết nhơ trong sự_nghiệp là lọc được đám fan hùa .,Không ủng hộ
91,10,Netflix coi phim từ 25 nha .,Không liên quan
92,4,Thôi nghỉ hưu sớm .,Không ủng hộ
93,10,người cầm_quyền khôi_phục uy_quyền à ?,Trung lập
94,6,Wow [ Ảnh ],Không liên quan
95,26,"Dù gì_thì_gì , đám_tang của người_yêu cũ mà không đến thì hơi bạc_tình . Dù gì cũng là người từng thương .",Không ủng hộ
96,28,"Anh Kim_Paris thiết_nghĩ nên chuyển sang hoạt_động tại VN . Chứ bên Hàn , bên Trung họ thông_minh quá . Có dân Việt mình …",Ủng hộ
97,20,Fan càng đông càng ủng_hộ thì may_ra chứ giờ có tai_tiếng cũng khó hào_nhoáng như xưa .,Không ủng hộ
98,47,"HQ thiếu diễn_viên à mà phải cãi nhau bênh nó đúng hay sai ? Thêm nữa cuộc_sống không_chỉ có đúng_sai , mà_còn có đạo_lý , tình người . Người thiệt nhất vẫn là người đã khuất ...",Trung lập
99,55,"Họ sợ_hãi vì chúng_ta ủng_hộ Kim_Soo_Hyun , họ đe_doạ và lăng_mạ chúng_ta để khiến chúng_ta từ_bỏ . Câu trả_lời của tôi là đừng lãng_phí thời_gian . ! !",Ủng hộ
100,88,"Cố lên anh . Vững_vàng vượt qua đại_nạn này rồi anh sẽ toả sáng trở_lại . Sóng_gió , bão dông đến thì phải gồng lên mà gánh thôi . Không làm khác được . Tiền mất kiếm lại . Danh_dự thì mình chỉ cần những_ai tin và hiểu thôi . Còn bọn ngoài kia không cần để_ý , chúng_nó chỉ tin vào những gì chúng_nó muốn tin , chứ không bao_giờ tin vào những gì nhìn thấy đâu .",Ủng hộ
101,9,Bọn fan cuồng đang tẩy trắng cho bố nó .,Không ủng hộ
102,22,"Mình còn vài quyển album phim Nữ_Hoàng Nước_Mắt của anh Kim_Soo_Hyun , bạn nào cần thì nhắn_tin cho mình nhé .",Không liên quan
103,28,Vậy còn vụ chụp màn_hình tin nhắn_gửi Dispatch và gửi số điện_thoại gia_đình Kim_Sae_Ron cho phóng_viên thì sao ạ ?,Không ủng hộ
104,11,"ĐCM anh tui không làm fan thất_vọng , yêu anh !",Ủng hộ
105,15,Liêm trong vô_liêm_sỉ hả . Lo học_hành đi mấy bé ơi .,Không liên quan
106,24,"Ủa tại_sao lại vô_liêm_sỉ vậy ạ ? Chị chỉ ra được cái sai của ổng đi , em theo chị liền .",Trung lập
107,48,"Gia_đình , Dispatch , các nhãn hàng Hàn , fan Hàn , KJW ( Kim Jae-joong ) xách đít chạy vội . Chỉ có fan Việt là một_lòng_một_dạ với anh Th ( Thái ) , mà anh có thích VN ( Việt_Nam ) đâu , kkk .",Không ủng hộ
108,53,"Thắc_mắc là nếu Kim_Soo_Hyun không quen vị_thành_niên , sao không kiện nhà Kim_Sae_Ron tội vu_khống nhỉ . Vì nhà Kim_Sae_Ron không kiện vì không có tiền và theo luật thì 13 tuổi được phép quen rồi .",Trung lập
109,25,"Bọn Hàn nó dắt_mũi giống vụ Trung_Mèo_Béo , tung tin đó ra để chuyển_hướng dư_luận vụ thả bom nhầm bên nó thôi .",Không liên quan
110,4,Buồn_cười vãi chưởng .,Không liên quan
111,36,Vứt bỏ con của chồng . Bị chồng đăng ảnh công_khai lên mạng nhưng lại tự_tử vì người_yêu cũ chia_tay được mấy năm rồi . Logic của gia_đình này đáng sợ thật .,Không liên quan
112,25,"Sau vụ này mới biết ổng toàn fan rác với hùa , động tí drama là thấy quay lưng với ổng thì hiểu rồi .",Không ủng hộ
113,35,"Tôi chỉ thấy buồn_cười cái cách người Hàn dùng chuyện giải_trí để che_đậy việc quân_đội Hàn ném dân_chủ vào khu dân_cư , dân_thường , à còn cả drone với trực_thăng nữa .",Không liên quan
114,6,Lọc được một đống fan hùa .,Không ủng hộ
115,4,Không có gì .,Không liên quan
116,12,"Chưa kết_thúc đâu các bà , viện kia chuẩn_bị thả .",Trung lập
117,40,"Bữa có một tài_khoản của con_bé nào chửi tao vì tao không hiểu thằng_cha này sai cái gì , tao cũng im không cãi ... giờ kiếm tài_khoản con khắm đó không thấy đâu .",Trung lập
118,21,"Dính cái drama nhảm_nhí này mà anh tôi bị mất chuỗi 15 năm sự_nghiệp , đời tư trong_sạch .",Ủng hộ
119,9,Lọc được một_số fan a_dua cũng được .,Không ủng hộ
120,13,Xin ông nói lảm_nhảm cho viện Trung_ương Phân_tâm_học chấn_động .,Không liên quan
121,8,Bỏ yêu tào_lao đi nhé_anh,Không ủng hộ
122,66,Mong các anh sau_này không yêu phải cô gái có gia_đình mục_nát như_vậy . Còn các bác ở Việt_Nam cứ bắt người ta phải chịu có lỗi mới chịu trong khi nói_chuyện người ta không cấm . Ở Việt_Nam chửa đẻ đầy rồi đấy . Mà làm như mọi người không yêu ở tuổi đó bây_giờ .,Ủng hộ
123,30,"Làm video POV nhưng tao cảm_nhận đây là fan của ổng và có_vẻ đang bất_lực lắm đây , nên hơi mù_quáng và ảo_tưởng nhé =",Không ủng hộ
124,10,"Cả VTV nữa , hài ẻ luôn .",Không liên quan
125,9,Công_lý cho Kim_Sae_Ron,Không ủng hộ
126,71,"Tôi không bênh_vực Kim_Soo_Hyun ở đây , nhưng khi anh ta hẹn_hò với Kim_Sae_Ron khi cô ấy còn là trẻ vị_thành_niên , tại_sao bố_mẹ CÔ ẤY không can_thiệp vào mối quan_hệ , trong khi anh TA Kim_Soo_Hyun và bố_mẹ CÔ ẤY , bố_mẹ Sae_Ron , đều biết rằng điều đó là sai_trái ?",Trung lập
127,15,"Công_lý cho Kim_Sae_Ron , tôi hy_vọng sự_thật sẽ được phơi_bày .",Không ủng hộ
128,10,Vậy là giờ anh ta là Drake phiên_bản Hàn_Quốc mới à .,Không ủng hộ
129,65,"Ok , thật kỳ_lạ khi anh ta hẹn_hò với một cô gái vị_thành_niên , nhưng chúng_ta phải nhớ một điều : trong mối quan_hệ này , Kim Sae-ron cũng là một người tham_gia tự_nguyện . Rốt_cuộc , đây không phải là một mối quan_hệ cưỡng_ép .",Trung lập
130,43,"Anh ta là người trưởng_thành còn cô ấy là trẻ_con , và anh ta lại nổi_tiếng nữa , như kiểu cái bẫy ấy . Anh ta dễ_dàng thao_túng cô ấy . Không nghĩ được à ? ?",Không ủng hộ
131,11,Tao xin_lỗi nhưng 15 tuổi là đủ lớn rồi .,Không ủng hộ
132,71,"Mấy người ghét Kim_Sae_Ron khi cô ấy đăng bức ảnh đó , và giờ khi cô ấy không còn nữa , mấy người lại ghét cả anh kia . Ngay cả khi đó là sự_thật thì mọi người cũng không nên huỷ_hoại cuộc_đời anh ấy như những gì mọi người đã làm với Kim_Sae_Ron , thật kỳ_lạ .",Không ủng hộ
133,15,Đến đám_tang của cô ấy mà hắn cũng không thèm đến .,Không ủng hộ
134,52,"Soohyun à , dù có chuyện gì xảy ra đi_chăng_nữa , em vẫn luôn ở bên cạnh anh . Em sẽ ủng_hộ anh mãi_mãi . Em tin anh . Em biết anh là một người tốt . Em biết rằng có những người đang cố_gắng hãm_hại anh .",Ủng hộ
135,6,Con gái ? ? ? ? ?,Không liên quan
136,20,"Khoảng_cách 12 tuổi thì ổn thôi , nhưng không phải khi có trẻ VỊ_THÀNH_NIÊN trong đó .",Không ủng hộ
137,64,"Ý tôi là , việc họ hẹn_hò thì đúng là tệ thật , nhưng rồi lại đổ lỗi cho người đàn_ông về cái chết của cô ấy mà không có bằng_chứng , trong khi không lâu trước đó mọi người lại bảo cô ấy tự kết_liễu đời mình vì đau_khổ các thứ do scandal trước_đây của cô ấy .",Trung lập
138,18,"Chuyện đó chưa được chứng_minh , đừng tin vào những lời đồn .",Trung lập
139,48,"Thì sao nếu họ hẹn_hò ? Nếu họ yêu nhau và đừng có tỏ_vẻ như các người biết hết mọi chuyện , bởi_vì anh ta KHÔNG cưỡng_hiếp cô ấy , họ HẸN_HÒ .",Ủng hộ
140,6,Bạn làm tôi thấy mình thông_minh hơn .,Không liên quan
141,43,"Mấy người lúc_nào cũng đổ lỗi cho gã kia , nhưng còn cô gái thì sao ? Tại_sao cô ta lại hẹn_hò với một người 27 tuổi ? Đó cũng LÀ lựa_chọn và quyết_định của CÔ TA mà .",Không ủng hộ
142,63,"Vì anh ta "" viện Garoseromed "" cô ấy à ? Bạn KHÔNG hiểu nghĩa của từ đó sao ? ? Anh ta nắm quyền_lực trên đầu cô ấy . Anh ta ở bên cô ấy từ khi cô ấy còn LÀ MỘT ĐỨA TRẺ . Đương_nhiên là chúng_ta sẽ đổ lỗi cho anh ta rồi ? ?",Không ủng hộ
143,68,Vấn_đề là cô ấy đã làm sai và cô ấy muốn chịu trách_nhiệm cho việc đó . CÔ ẤY KHÔNG HỀ TRỐN CHẠY . Cô ấy đã làm những công_việc bán thời_gian để trả nợ cho công_ty quản_lý của mình và những gì Kim_Soo_Hyun đã làm là đẩy cô ấy lún sâu hơn vào vực thẳm .,Không ủng hộ
144,62,"Sao mọi người vẫn còn ghét_bỏ cô ấy ngay cả sau khi cô ấy qua_đời vậy . Thật đau_lòng . Anh ta là người trưởng_thành , anh ta phải_biết điều gì tốt hơn chứ . Cô ấy chỉ là một đứa trẻ . Mong cô ấy yên_nghỉ .",Không ủng hộ
145,46,"Trời ạ , cô ấy có cha_mẹ mà , đáng_lẽ ở tuổi đó cô ấy phải trưởng_thành rồi chứ , cô ấy đâu phải là một bé gái 9 tuổi .",Không ủng hộ
146,14,"Cô ấy 15 tuổi , nghĩa_là một đứa trẻ .",Không ủng hộ
147,11,Nó được gọi là tuổi_tác không thành vấn_đề .,Không liên quan
148,17,"Khi nói đến việc hẹn_hò với trẻ vị_thành_niên , điều đó là sai_trái .",Không ủng hộ
149,27,Có_lẽ đây là thông_tin sai_lệch . Chúng_ta cần chờ xác_nhận chính_thức .,Trung lập
150,47,"Trời ạ , ảnh họ hôn má và gần như là hôn môi tràn_lan khắp_nơi rồi kìa . Làm_ơn tìm đi . Và hôm_nay Dispatch đã xác_nhận mối quan_hệ của họ rồi đó .",Không ủng hộ
151,20,Mấy người nổi_tiếng Hàn_Quốc này đang sống cuộc_đời như phim драмы của họ vậy .,Không liên quan
152,52,"Tôi không bênh_vực anh ta , nhưng cô ấy 15 còn anh ta 27 , họ hẹn_hò 6 năm , bố_mẹ cô ấy biết mọi chuyện . Tại_sao họ không làm gì đó ? ...",Trung lập
153,16,Tại_sao một gã 27 tuổi lại muốn hẹn_hò với một cô bé 15 tuổi ngay từ đầu chứ .,Không ủng hộ
154,24,_Soo_Hyun vô_tội ! ! ! Tại_sao các người lại cố_gắng huỷ_hoại sự_nghiệp của anh ấy vậy làm_ơn đi mà,Ủng hộ
155,4,Bạn thân ơi,Không liên quan
156,67,"Tôi không quan_tâm đến anh ta , nhưng tại_sao lại chỉ đổ lỗi cho một_mình anh ta ? Thứ nhất , bố_mẹ và dì của cô bé ở đâu khi cô bé hẹn_hò với anh ta ? Họ biết chuyện , vậy tại_sao đến giờ mới nói ? Thứ hai , 15 tuổi vẫn đủ lớn để chịu trách_nhiệm , trong khi mọi người",Trung lập
157,85,"Anh bạn à , chuyện đó có quan_trọng đâu , họ yêu nhau cũng được chứ sao . Cô ấy còn chọn hẹn_hò với anh ta nữa kìa , để yên người ta đi . Chênh_lệch tuổi_tác không quan_trọng , mấy người làm quá lên thôi . Đó là lựa_chọn của họ , chứ không phải của mấy người .",Ủng hộ
158,27,"Hãy nhớ rằng đây đều là những cáo_buộc mà người dì đưa ra , nó vẫn chưa phải là thông_tin chính_thức .",Trung lập
159,12,Chị ơi có ảnh anh ta hôn cô ta kìa,Không ủng hộ
160,64,"Rồi mọi người cũng sẽ đối_xử với anh ta như với người_yêu cũ thôi , tôi không bênh ai cả nhưng cả hai đều sai khi hẹn_hò và yêu nhau , rõ_ràng là do tuổi_tác . Cả hai nên chịu trách_nhiệm cho hành_động của mình .",Trung lập
161,44,"Trẻ vị_thành_niên không đủ khôn_ngoan để đưa ra quyết_định , đó là lỗi của người_lớn . Thêm nữa , tại_sao bạn lại muốn đổ lỗi cho cô ấy , cô ấy không còn ở đây nữa ....",Không ủng hộ
162,54,"Đó vẫn chỉ là những cáo_buộc , chưa có bằng_chứng nào cho những gì đã được nói cả . Mọi người thực_sự không rút ra được bài_học nào từ vụ_việc trong quá_khứ à ?",Trung lập
163,70,"Sandara hẹn_hò với một học_sinh cấp hai khi đã trưởng_thành , nhưng sự_nghiệp của cô ấy vẫn hoàn_toàn ổn . Tại_sao chỉ có Kim Soo-hyun bị huỷ_bỏ ? Đây rõ_ràng là một tiêu_chuẩn kép . Nếu bạn định huỷ_bỏ ai đó , hãy huỷ_bỏ cả hai .",Ủng hộ
164,70,"Tôi chỉ muốn nói điều này , nếu cô ấy hẹn_hò với anh ta và cô ấy 15 tuổi , tại_sao cô ấy không rời bỏ anh ta nếu cô ấy biết anh ta lớn_tuổi hơn và tại_sao chúng_ta không chờ_đợi vì đây cũng có_thể là một lời buộc_tội sai sự_thật ? ?",Trung lập
165,32,Tại_sao bạn lại đổ lỗi cho anh Minor ? Chắc_chắn anh ta biết việc hẹn_hò với trẻ vị_thành_niên là sai_trái nhưng vẫn làm_vậy .,Không ủng hộ
166,65,"Thật kỳ_lạ khi anh ta cho cô ấy vay tiền không tính phí , rồi lại quay sang kiện cô ấy . Sau đó , cô ấy cầu_xin anh ta và hứa sẽ trả lại tiền khi cô ấy được thuê vào các dự_án , nhưng anh ta không chịu buông_tha .",Không ủng hộ
167,8,Chúng_tôi yêu bạn Kim_Soo_Hyun,Ủng hộ
168,6,""" Chúng_ta "" là ai ? ?",Không liên quan
169,71,"Những người nói rằng "" nhưng anh ta không ép cô ấy "" , trẻ vị_thành_niên không đủ trưởng_thành để đưa ra các quyết_định có trách_nhiệm , vì phần_lớn hành_vi của chúng bị thúc_đẩy bởi sự bốc_đồng . Nếu một bé gái hoặc bé trai tuổi teen phát_triển +",Không ủng hộ
170,16,Tôi không_thể tin được là đã có ngày tôi ngưỡng_mộ hắn .,Không ủng hộ
171,17,Mọi người quá ghen_tị với anh ấy nên đã tạo ra những tin_đồn giả về anh ấy .,Ủng hộ
172,65,"Lẽ_ra cô ấy nên tự nhận_thức được việc mình đang hẹn_hò với một người lớn_tuổi hơn và ông ấy không liên_quan gì đến cái chết của cô ấy , vì_vậy các bạn nên ngừng đổ lỗi cho ông ấy về cái chết của cô ấy và sống cuộc_đời của mình đi .",Ủng hộ
173,64,Bản_thân cô gái đã muốn có mối quan_hệ với anh ta . Tại_sao mọi người lại nói như_thể anh ta ép cô yêu anh ta vậy ? Nếu cô gái có ý_thức thì đã không nói_chuyện với anh ta rồi . Đây không phải là lỗi của anh ta .,Ủng hộ
174,54,"Cô gái mới 15 tuổi , ở độ tuổi đó người ta có_thể đưa ra những quyết_định tồi_tệ . Anh ta 27 tuổi , anh ta biết chính_xác mình đang làm gì và biết_điều đó là sai_trái nhưng anh ta vẫn LỢI_DỤNG cô bé .",Không ủng hộ
175,5,Drake đó hả ?,Không liên quan
176,20,Tôi phát_hiện ra việc Kim_Soo_Hyun có nguy_cơ bị huỷ_bỏ sự_nghiệp không nằm trong lá phiếu bingo năm 2025 của tôi .,Trung lập
177,44,"Sao mọi người lại bàn_tán về Kim_Sae_Ron khi cô ấy không còn nữa , trong khi lúc cô ấy còn sống và đối_mặt với sự trầm_cảm này , không ai đứng ra bênh_vực cô ấy ... điều đó thật đáng buồn .",Không ủng hộ
178,48,"Cô ấy hoàn_toàn có_thể từ_chối vì tuổi_tác của mình , cô ấy cũng đủ hiểu_biết để làm_vậy ... Sẽ không có mối quan_hệ nào cả , mọi chuyện đã không đi đến nước này .",Không ủng hộ
179,13,Hãy nhớ rằng trẻ vị_thành_niên có_thể bị dụ_dỗ .,Trung lập
180,26,Chúng_ta không biết gì về những gì đang xảy ra ngoài đời thực cả . Đây chỉ là tin_đồn thôi .,Trung lập
181,23,"Vào thời_điểm đó , việc anh ấy không đến dự đám_tang của cô ấy thật đáng ngạc_nhiên .",Không ủng hộ
182,77,"Sao họ lại đợi đến khi cô ấy qua_đời ? ? ? Điều đó khiến tôi nghi_ngờ ... Tôi chưa bao_giờ quan_tâm đến diễn_viên đó . Tôi biết anh ta diễn giỏi . Nhưng điều đó vẫn khiến tôi bực_mình , có_lẽ gia_đình muốn tiền .",Trung lập
183,41,"Điên thật đấy , sao mà vẫn có người bênh_vực hắn ta sau ngần đấy ảnh được tung ra , chỉ vì thấy hắn ta đẹp_trai với_lại thích phim hắn đóng .",Không ủng hộ
184,7,Xã_hội Hàn_Quốc thật nguy_hiểm .,Không liên quan
185,41,Bro ! ! Tại_sao gia_đình cô ấy không chấm_dứt mối quan_hệ này ! ! Hãy ngừng chỉ_trích_Soo_Hyun và để linh_hồn cô gái được yên_nghỉ ! !,Ủng hộ
186,58,Về mặt_tiền bạc : cô ấy nợ công_ty của anh ta 473.000 đô_la . Số_dư này đến hạn vào ngày 31 tháng 12 năm 2023 . Công_ty của anh ta đã không gửi thư đòi nợ cho cô ấy cho đến tháng 3 năm 2024 .,Trung lập
187,4,Điều này không đúng .,Trung lập
188,64,Tôi thấy tiếc cho Kim_Sae_Ron và tôi cũng là fan của Kim_Soo_Hyun . Chúng_ta không_thể chỉ nói rằng Kim_Soo_Hyun sai trong chuyện này . Họ đã ở bên nhau 6 năm . Chúng_ta không_thể chỉ đổ lỗi cho một bên .,Trung lập
189,25,"đó không phải là thông_tin chính_thức , chỉ là tin_đồn thôi nhưng tôi hy_vọng điều đó không phải là thật",Trung lập
190,65,"Hiện có rất nhiều bằng_chứng cho thấy anh ta không hoàn_toàn vô_tội . Các cuộc phỏng_vấn , bài đăng và các cáo_buộc khác trong quá_khứ kinh_tởm của anh ta đã bị đội PR xoá_bỏ đang xuất_hiện trở_lại .",Không ủng hộ
191,60,"Tôi không hề ghét Saeron , tôi chỉ không thực_sự tin gã kia , nhưng ý tôi là chẳng phải cô ấy cũng hẹn_hò với hắn ta sao ? Và trong bức ảnh , dáng_vẻ cô ấy đầy_đặn hơn , trông cô ấy có khó_chịu đâu , ý tôi là cô ấy biết rõ mà .",Không ủng hộ
192,71,"Vấn_đề là cô ấy mới 15 ... rất dễ để lợi_dụng một người 15 tuổi hơn là một người 27 tuổi . Nếu cô ấy muốn rời đi hoặc gì đó , anh ta đã có_thể bịt miệng cô ấy bằng tiền . Chúng_ta không biết mọi chuyện đã xảy ra sau màn_ảnh , nhưng anh ta là -",Không ủng hộ
193,55,"Vậy tôi muốn làm rõ một điều , có phải anh ta là người gây ra cái chết của cô ấy hay_là những người đã ngăn_cản cô ấy trở_lại , quấy_rối và khiến cô ấy uất_ức đến chết ? ?",Trung lập
194,77,"Vấn_đề là họ đã ở bên nhau 6 năm rồi . Mọi người cứ đổ lỗi cho Kim_Soo_Hyun mà không phải bố_mẹ hay dì của cô ấy , những người bây_giờ mới lên_tiếng khi cô ấy đã mất , nhưng lại không_thể tách cô ấy khỏi Kim_Soo_Hyun trong những năm đó .",Không ủng hộ
